,title,artist
0,Anti-Hero,Taylor Swift
1,Lavender Haze,Taylor Swift
2,Maroon,Taylor Swift
3,Snow On The Beach,Taylor Swift Featuring Lana Del Rey
4,Midnight Rain,Taylor Swift
5,Bejeweled,Taylor Swift
6,Question...?,Taylor Swift
7,"You're On Your Own, Kid",Taylor Swift
8,Karma,Taylor Swift
9,Vigilante Shit,Taylor Swift
10,Unholy,Sam Smith & Kim Petras
11,Bad Habit,Steve Lacy
12,Mastermind,Taylor Swift
13,Labyrinth,Taylor Swift
14,Sweet Nothing,Taylor Swift
15,As It Was,1
16,I Like You (A Happier Song),Post Malone Featuring Doja Cat
17,I Ain't Worried,OneRepublic
18,You Proof,Morgan Wallen
19,"Would've, Could've, Should've",Taylor Swift
20,Bigger Than The Whole Sky,Taylor Swift
21,Super Freaky Girl,Nicki Minaj
22,Sunroof,Nicky Youre & dazy
23,I'm Good (Blue),David Guetta & Bebe Rexha
24,Under The Influence,Chris Brown
25,The Great War,Taylor Swift
26,Vegas,Doja Cat
27,Something In The Orange,Zach Bryan
28,Wasted On You,9
29,Jimmy Cooks,Drake Featuring 21 Savage
30,Wait For U,1
31,Paris,Taylor Swift
32,High Infidelity,Taylor Swift
33,Tomorrow 2,GloRilla & Cardi B
34,Titi Me Pregunto,Bad Bunny
35,About Damn Time,Lizzo
36,The Kind Of Love We Make,Luke Combs
37,Late Night Talking,3
38,Cuff It,Beyonce
39,She Had Me At Heads Carolina,Cole Swindell
40,Glitch,Taylor Swift
41,Me Porto Bonito,Bad Bunny & Chencho Corleone
42,Die For You,33
43,California Breeze,Lil Baby
44,Dear Reader,Taylor Swift
45,Forever,Lil Baby Featuring Fridayy
46,Hold Me Closer,Elton John & Britney Spears
47,Just Wanna Rock,Lil Uzi Vert
48,5 Foot 9,Tyler Hubbard
49,Unstoppable,Sia
50,Thank God,Kane Brown With Katelyn Brown
51,Fall In Love,Bailey Zimmerman
52,Rock And A Hard Place,Bailey Zimmerman
53,Golden Hour,JVKE
54,Heyy,Lil Baby
55,Half Of Me,Thomas Rhett Featuring Riley Green
56,Until I Found You,38
57,Victoria’s Secret,Jax
58,Son Of A Sinner,Jelly Roll
59,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
60,Romantic Homicide,d4vd
61,What My World Spins Around,Jordan Davis
62,Real Spill,Lil Baby
63,Don't Come Lookin',Jackson Dean
64,Monotonia,Shakira + Ozuna
65,Stand On It,Lil Baby
66,Never Hating,Lil Baby & Young Thug
67,Wishful Drinking,47
68,No Se Va,Grupo Frontera
69,Free Mind,Tems
70,Not Finished,Lil Baby
71,Music For A Sushi Restaurant,8
72,Pop Out,Lil Baby & Nardo Wick
73,Staying Alive,DJ Khaled Featuring Drake & Lil Baby
74,Poland,Lil Yachty
75,Whiskey On You,Nate Smith
76,Billie Eilish.,Armani White
77,Betty (Get Money),Yung Gravy
78,2 Be Loved (Am I Ready),Lizzo
79,Wait In The Truck,HARDY Featuring Lainey Wilson
80,All Mine,Brent Faiyaz
81,La Bachata,Manuel Turizo
82,Last Last,Burna Boy
83,Glimpse Of Us,Joji
84,Freestyle,63
85,Calm Down,Rema & Selena Gomez
86,Gatubela,Karol G x Maldy
87,Evergreen,Omar Apollo
88,Pick Me Up,Gabby Barrett
89,Gotta Move On,Diddy & Bryson Tiller
90,Perfect Timing,Lil Baby
91,Country On,Luke Bryan
92,Snap,Rosa Linn
93,She Likes It,63
94,Made You Look,Meghan Trainor
95,Dark Red,78
96,From Now On,Lil Baby Featuring Future
97,Forget Me,Lewis Capaldi
98,Miss You,Oliver Tree & Robin Schulz
99,Despecha,Rosalia
