,title,artist
0,Like a Rolling Stone,Bob Dylan
1,(I Can't Get No) Satisfaction',The Rolling Stones
2,Imagine,John Lennon
3,What's Going On,Marvin Gaye
4,Respect,Aretha Franklin
5,Good Vibrations,The Beach Boys
6,Johnny B. Goode,Chuck Berry
7,Hey Jude,The Beatles
8,Smells Like Teen Spirit,Nirvana
9,What'd I Say,Ray Charles
10,My Generation,The Who
11,A Change Is Gonna Come,Sam Cooke
12,Yesterday,The Beatles
13,Blowin' in the Wind,Bob Dylan
14,London Calling,The Clash
15,I Want to Hold Your Hand,The Beatles
16,Purple Haze,The Jimi Hendrix Experience
17,Maybellene,Chuck Berry
18,Hound Dog,Elvis Presley
19,Let It Be,The Beatles
20,Born to Run,Bruce Springsteen
21,Be My Baby,The Ronettes
22,In My Life,The Beatles
23,People Get Ready,The Impressions
24,God Only Knows,The Beach Boys
25,(Sittin' on) the Dock of the Bay,Otis Redding
26,Layla,Derek and the Dominos
27,A Day in the Life,The Beatles
28,Help!,The Beatles
29,I Walk the Line,Johnny Cash
30,Stairway to Heaven,Led Zeppelin
31,Sympathy for the Devil,The Rolling Stones
32,River Deep - Mountain High,Ike and Tina Turner
33,You've Lost That Lovin' Feelin'',The Righteous Brothers
34,Light My Fire,The Doors
35,One,U2
36,"No Woman, No Cry",Bob Marley
37,Gimme Shelter,The Rolling Stones
38,That'll Be the Day,Buddy Holly and the Crickets
39,Dancing in the Street,Martha Reeves and the Vandellas
40,The Weight,The Band
41,Waterloo Sunset,The Kinks
42,Tutti-Frutti,Little Richard
43,Georgia on My Mind,Ray Charles
44,Heartbreak Hotel,Elvis Presley
45,Heroes,David Bowie
46,All Along the Watchtower,The Jimi Hendrix Experience
47,Bridge Over Troubled Water,Simon and Garfunkel
48,Hotel California,The Eagles
49,The Tracks of My Tears,Smokey Robinson and the Miracles
50,Crazy,Gnarls Barkley
51,Fortunate Son,Creedence Clearwater Revival
52,Love and Happiness,Al Green
53,Roll Over Beethoven,Chuck Berry
54,Great Balls of Fire,Jerry Lee Lewis
55,Blue Suede Shoes,Carl Perkins
56,Good Golly,Little Richard
57,I Still Havent Found What Im Looking For,U2
58,Blitzkrieg Bop,Ramones
59,Suspicious Minds,Elvis Presley
60,In the Still of the Night,The Five Satins
61,California Dreamin,The Mamas and the Papas
62,My Girl,The Temptations
63,Ring of Fire,Johnny Cash
64,Thunder Road,Bruce Springsteen
65,Crazy,Patsy Cline
66,Every Breath You Take,The Police
67,Norwegian Wood (This Bird Has Flown),The Beatles
68,Blueberry Hill,Fats Domino
69,I Heard It Through the Grapevine,Marvin Gaye
70,You Really Got Me,The Kinks
71,Mr. Tambourine Man,The Byrds
72,I Got You (I Feel Good),James Brown
73,Mystery Train,Elvis Presley
74,Strawberry Fields Forever,The Beatles
75,Whole Lotta Love,Led Zeppelin
76,Summertime Blues,Eddie Cochran
77,Superstition,Stevie Wonder
78,California Girls,The Beach Boys
79,Papas Got A Brand New Bag,James Brown
80,Walk On By,Dionne Warwick
81,Crying,Roy Orbison
82,Tangled Up in Blue,Bob Dylan
83,Jailhouse Rock,Elvis Presley
84,Redemption Song,Bob Marley and the Wailers
85,Sunshine of Your Love,Cream
86,She Loves You,The Beatles
87,For What Its Worth,Buffalo Springfield
88,Bo Diddley,Bo Diddley
89,Whole Lotta Shakin Going On,Jerry Lee Lewis
90,Lets Stay Together,Al Green
91,The Times They Are A-Changin,Bob Dylan
92,Billie Jean,Michael Jackson
93,Whiter Shade of Pale,Procol Harum
94,Anarchy in the U.K.,The Sex Pistols
95,Long Tall Sally,Little Richard
96,Louie Louie,The Kingsmen
97,When a Man Loves a Woman,Percy Sledge
98,When Doves Cry,Prince
99,The Message,Grandmaster Flash and the Furious Five
100,Crazy,Gnarls Barkley
101,Fortunate Son,Creedence Clearwater Revival
102,Love and Happiness,Al Green
103,Roll Over Beethoven,Chuck Berry
104,Great Balls of Fire,Jerry Lee Lewis
105,Blue Suede Shoes,Carl Perkins
106,Good Golly,Little Richard
107,I Still Havent Found What Im Looking For,U2
108,Blitzkrieg Bop,Ramones
109,Suspicious Minds,Elvis Presley
110,In the Still of the Night,The Five Satins
111,California Dreamin,The Mamas and the Papas
112,My Girl,The Temptations
113,Ring of Fire,Johnny Cash
114,Thunder Road,Bruce Springsteen
115,Crazy,Patsy Cline
116,Every Breath You Take,The Police
117,Norwegian Wood (This Bird Has Flown),The Beatles
118,Blueberry Hill,Fats Domino
119,I Heard It Through the Grapevine,Marvin Gaye
120,You Really Got Me,The Kinks
121,Mr. Tambourine Man,The Byrds
122,I Got You (I Feel Good),James Brown
123,Mystery Train,Elvis Presley
124,Strawberry Fields Forever,The Beatles
125,Whole Lotta Love,Led Zeppelin
126,Summertime Blues,Eddie Cochran
127,Superstition,Stevie Wonder
128,California Girls,The Beach Boys
129,Papas Got A Brand New Bag,James Brown
130,Walk On By,Dionne Warwick
